Created - 11:51:26.295397: Large marble: Apollo, marbles: Maximum Violet, Dark Fuchsia, Pastel Gray, Eerie Black, Sheen Green, Maximum Violet, Indigo
Created - 11:51:32.666051: Large marble: Lucky, marbles: Russian Green, Brink Pink, Pale Taupe, Tuscan Brown, Big Dip O’ruby, Lavender Purple, Gold
Created - 11:51:32.751598: Large marble: 5-Star, marbles: Gold, Ivory, Blue-Green, Rose Dust, Lumber, Blue Bell, Mimi Pink
Created - 11:51:32.839192: Large marble: Sure Shot, marbles: Outrageous Orange, Platinum, Royal Orange, Green, Thulian Pink, Lemon Lime, Venetian Red
Created - 11:51:32.927090: Large marble: Hercules, marbles: Light Orange, Light Orange, Big Dip O’ruby, Indigo, Neon Silver, Indigo, Thulian Pink
Created - 11:51:33.013492: Large marble: Winner, marbles: Rose Quartz, Rose Dust, Russian Violet, Cobalt Blue, Light Orchid, Maximum Purple, Duke Blue
Created - 11:51:33.100410: Large marble: Big Joe, marbles: Lemon Lime, Lilac Luster, Middle Green Yellow, Pale Goldenrod, Pastel Blue, Orange Peel, Maximum Purple
Created - 11:51:33.184931: Large marble: Apollo, marbles: Orange Peel, Fiery Rose, Almond, Sage, Gold, Bistre Brown, Mango Tango
Created - 11:51:33.271264: Large marble: 5-Star, marbles: Shandy, Ruby, Lilac Luster, Orange Peel, Golden Yellow, Maximum Purple, Emerald
Created - 11:51:33.355003: Large marble: Spinner, marbles: Royal Red, Shandy, Mint Green, Neon Dark Green, La Salle Green, Thulian Pink, Pale Taupe
Created - 11:51:33.442733: Large marble: Zeus, marbles: Isabelline, Mode Beige, Spanish Orange, Lilac Luster, Cotton Candy, Ruby, Pale Plum
Created - 11:51:33.530725: Large marble: 5-Star, marbles: Russian Violet, Cobalt Blue, Blue-Green, Brown, Rose Dust, Pastel Gray, Cotton Candy
Created - 11:51:33.618674: Large marble: Big Joe, marbles: Platinum, Gold, Auburn, Platinum, Liver Chestnut, Ruby, Outrageous Orange
Created - 11:51:33.706819: Large marble: Apollo, marbles: Mulberry, Russian Violet, Royal Blue, Blue Bell, Maximum Blue, Royal Blue, Brink Pink
Created - 11:51:33.794709: Large marble: Winner, marbles: Safety Yellow, Venetian Red, Rose Dust, Rose Quartz, Cotton Candy, Spanish Orange, Candy Pink
Created - 11:51:33.880962: Large marble: Lucky, marbles: Tuscan Brown, Beaver, Ruby, Thulian Pink, Venetian Red, Stop Red, Pastel Blue
Created - 11:51:33.967515: Large marble: 5-Star, marbles: Lavender Purple, Beaver, Middle Green, Blue-Green, Platinum, Granny Smith Apple, Isabelline
Created - 11:51:34.051660: Large marble: Winner, marbles: Terra Cotta, Brink Pink, Purple, Emerald, Slate Blue, Purple, Lilac Luster
Created - 11:51:34.138132: Large marble: Hercules, marbles: Mint Green, Liver Chestnut, Blue, Purple Plum, Mimi Pink, Chinese Red, Terra Cotta
Created - 11:51:34.222122: Large marble: Sure Shot, marbles: Pale Goldenrod, Spanish Carmine, Spanish Pink, Sheen Green, Auburn, Pale Goldenrod, Pale Cerulean
Created - 11:51:34.310484: Large marble: Sure Shot, marbles: Bistre Brown, Pale Goldenrod, Maximum Violet, Shandy, Rose Dust, Big Dip O’ruby, Maximum Violet
Created - 11:51:34.394272: Large marble: 5-Star, marbles: Ivory, Bistre Brown, Sage, Middle Red Purple, Pastel Blue, Stop Red, Neon Dark Green
Created - 11:51:34.479790: Large marble: Winner, marbles: Sheen Green, Candy Pink, Liver Chestnut, Brink Pink, Zomp, Lumber, Royal Red
Created - 11:51:34.567435: Large marble: Spinner, marbles: Shandy, Dark Moss Green, Tuscan Brown, Orange Peel, Green, Platinum, Neon Pink
Created - 11:51:34.655310: Large marble: Big Joe, marbles: Pastel Blue, Dark Moss Green, Middle Green Yellow, Arylide Yellow, Mango Tango, Chinese Red, Dark Moss Green
Created - 11:51:34.743142: Large marble: Hercules, marbles: Neon Silver, Pale Taupe, Blue Bell, Mango Tango, Vegas Gold, Royal Orange, Fiery Rose
Created - 11:51:34.829169: Large marble: Spinner, marbles: Cobalt Blue, Royal Blue, Spanish Orange, Liver Chestnut, Cotton Candy, Lumber, Beaver
Created - 11:51:34.913479: Large marble: Sure Shot, marbles: Lavender Blue, Antique Brass, Fiery Rose, Brink Pink, Pale Taupe, Lilac Luster, Russian Green
Created - 11:51:35.000524: Large marble: Spinner, marbles: Green, Safety Yellow, Dark Fuchsia, Isabelline, Maximum Purple, Thulian Pink, Royal Blue
Created - 11:51:35.090596: Large marble: Sure Shot, marbles: Maximum Purple, Mint Cream, Granny Smith Apple, Purple Plum, Thulian Pink, Rose Quartz, Mulberry
Created - 11:51:35.173419: Large marble: Winner, marbles: Maximum Blue, Golden Yellow, Beaver, Ivory, Gold, Fiery Rose, Venetian Red
Created - 11:51:35.259527: Large marble: Sure Shot, marbles: Lilac Luster, Spanish Carmine, Spanish Carmine, Cobalt Blue, Outrageous Orange, Pale Goldenrod, Black Coral
Created - 11:51:35.340917: Large marble: Spinner, marbles: Cobalt Blue, Chinese Red, Big Dip O’ruby, Black Coral, Mint Green, Middle Red Purple, Shandy
Created - 11:51:35.425500: Large marble: Lucky, marbles: Almond, Pastel Gray, Mimi Pink, Silver Pink, Pale Plum, Icterine, Spanish Orange
Created - 11:51:35.509714: Large marble: 5-Star, marbles: Lumber, Lilac Luster, Neon Silver, Cobalt Blue, Maximum Violet, White Smoke, Neon Pink
Created - 11:51:35.593645: Large marble: 5-Star, marbles: Blue, Blue Bell, Orange Soda, Middle Green, Lilac Luster, Icterine, Purple
Created - 11:51:35.681483: Large marble: Sure Shot, marbles: Royal Orange, Silver Chalice, Icterine, Mode Beige, Emerald, Eerie Black, Emerald
Created - 11:51:35.769853: Large marble: Hercules, marbles: Royal Blue, Safety Yellow, Dark Moss Green, Dark Fuchsia, Middle Green Yellow, Venetian Red, Pale Taupe
Created - 11:51:35.855120: Large marble: Zeus, marbles: Golden Yellow, Spanish Carmine, Orange Soda, Dark Fuchsia, Pastel Gray, Zomp, Pale Plum
Created - 11:51:35.941202: Large marble: Sure Shot, marbles: Mango Tango, Gold, Russian Violet, Neon Pink, Spanish Carmine, Spanish Orange, Brink Pink
Created - 11:51:36.026638: Large marble: Hercules, marbles: Indigo, Green, Orange Soda, Shandy, Royal Blue, Middle Green Yellow, Pastel Gray
Created - 11:51:36.114859: Large marble: Zeus, marbles: Candy Pink, White Smoke, Pale Cerulean, Rose Dust, Mulberry, Neon Silver, Pastel Blue
Created - 11:51:36.200666: Large marble: Lucky, marbles: Orange Soda, Middle Green Yellow, Beaver, Spanish Pink, Orange Peel, Outrageous Orange, Spanish Orange
Created - 11:51:36.286475: Large marble: 5-Star, marbles: Spanish Pink, Mulberry, Gold, Big Dip O’ruby, Venetian Red, Liver Chestnut, Lumber
Created - 11:51:36.370845: Large marble: Lucky, marbles: Rose Dust, Light Orange, Cobalt Blue, Middle Green, Black Coral, Thulian Pink, La Salle Green
Created - 11:51:36.454523: Large marble: Apollo, marbles: Royal Orange, White Smoke, Green, Silver Chalice, Mimi Pink, Pale Cerulean, Cobalt Blue
Created - 11:51:36.539659: Large marble: Winner, marbles: Spanish Carmine, Royal Red, Mint Green, Light Orchid, Pale Taupe, Maximum Purple, Neon Silver
Created - 11:51:36.624808: Large marble: Spinner, marbles: Neon Dark Green, Spanish Carmine, Bistre Brown, Antique Brass, Shandy, Lavender Blue, Duke Blue
Created - 11:51:36.712973: Large marble: Winner, marbles: Auburn, Zomp, Fiery Rose, Pastel Blue, Platinum, Mulberry, Ivory
Created - 11:51:36.798793: Large marble: 5-Star, marbles: Venetian Red, Royal Red, Emerald, Candy Pink, Orange Soda, Thulian Pink, Middle Green
Created - 11:51:36.885980: Large marble: Hercules, marbles: Terra Cotta, Mode Beige, Safety Yellow, Vegas Gold, Russian Violet, Granny Smith Apple, Pastel Gray
Created - 11:51:36.972726: Large marble: 5-Star, marbles: Purple Plum, Orange Soda, Lavender Blue, Antique Bronze, Mimi Pink, Royal Blue, Brink Pink
Created - 11:51:37.060452: Large marble: Spinner, marbles: Orange Peel, Pale Goldenrod, Spanish Pink, Pale Goldenrod, Royal Blue, Zomp, Blue-Green
Created - 11:51:37.146669: Large marble: Zeus, marbles: Rose Quartz, Pastel Blue, Chinese Red, Safety Yellow, Middle Green, Lemon Lime, Eerie Black
Created - 11:51:37.234405: Large marble: Winner, marbles: Big Dip O’ruby, Maximum Violet, Eerie Black, Royal Orange, Gold, Light Orchid, Terra Cotta
Created - 11:51:37.322364: Large marble: Winner, marbles: Icterine, Indigo, Stop Red, Neon Silver, Mulberry, Shandy, Eerie Black
Created - 11:51:37.410038: Large marble: Big Joe, marbles: Silver Chalice, Lemon Lime, Shandy, Safety Yellow, Maximum Purple, Pale Taupe, Mimi Pink
Created - 11:51:37.495445: Large marble: Lucky, marbles: Mint Cream, Russian Violet, Purple, Middle Green, Tuscan Brown, Venetian Red, Antique Bronze
Created - 11:51:37.580986: Large marble: Lucky, marbles: Green, Silver Chalice, Big Dip O’ruby, Sheen Green, Lilac Luster, Pale Taupe, Sheen Green
Created - 11:51:37.666723: Large marble: Spinner, marbles: Big Dip O’ruby, Orange Peel, La Salle Green, Outrageous Orange, Russian Violet, Pale Taupe, Sheen Green
Created - 11:51:37.754799: Large marble: Hercules, marbles: Platinum, Pale Goldenrod, Royal Red, Indigo, Big Dip O’ruby, Antique Bronze, Honeydew
Created - 11:51:37.843338: Large marble: Zeus, marbles: Eerie Black, Brink Pink, Antique Brass, Safety Yellow, Thulian Pink, Brink Pink, Terra Cotta
Created - 11:51:37.931387: Large marble: 5-Star, marbles: Auburn, Black Coral, Pale Goldenrod, Lavender Purple, Auburn, Candy Pink, Black Coral
Created - 11:51:38.015599: Large marble: Spinner, marbles: Royal Red, Fiery Rose, Granny Smith Apple, Thulian Pink, Fiery Rose, Spanish Pink, Neon Dark Green
Created - 11:51:38.101012: Large marble: Winner, marbles: Black Coral, Vegas Gold, Duke Blue, Arylide Yellow, Gold, Mint Cream, Eerie Black
Created - 11:51:38.188776: Large marble: Big Joe, marbles: Purple Plum, Pale Taupe, Dark Fuchsia, Fiery Rose, Russian Green, Pale Cerulean, Neon Silver
Created - 11:51:38.275496: Large marble: Spinner, marbles: Spanish Pink, Pastel Gray, Ruby, Antique Brass, Indigo, Maximum Violet, Big Dip O’ruby
Created - 11:51:38.361334: Large marble: Winner, marbles: Royal Blue, Purple, Pale Goldenrod, Chinese Red, Arylide Yellow, Almond, Candy Pink
Created - 11:51:38.445744: Large marble: Big Joe, marbles: Royal Orange, Silver Chalice, Arylide Yellow, Dark Moss Green, Blue-Green, Bistre Brown, Emerald
